Year,HTS_Code,Description,MFN_Rate,MFN_Rate_Raw,Category
2017,"12019000,""Soybeans, whether or not broken, other than seed"",""KG"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""4.4 cents/kg"",""1"",0.00,0.04,0.00,2/3/2012 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Soybean
2017,"85411000,""Diodes, other than photosensitive or light-emitting diodes"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1993 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85412100,""Transistors, other than photosensitive transistors, with a dissipation rating of less than 1 W"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85412900,""Transistors, other than photosensitive transistors, with a dissipation rating of 1 W or more"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85413000,""Thyristors, diacs and triacs, other than photosensitive devices"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85414020,""Light-emitting diodes (LED's)"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""20%"",""7"",0.20,0.00,0.00,1/1/1999 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85414060,""Diodes for semiconductor devices, other than light-emitting diodes, nesi"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85429000,""Parts of electronic integrated circuits and microassemblies"",""X"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85414070,""Photosensitive transistors"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85414080,""Photosensitive semiconductor devices nesi, optical coupled isolators"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1994 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85414095,""Photosensitive semiconductor devices nesi, other"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1994 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85415000,""Semiconductor devices other than photosensitive semiconductor devices, nesi"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1994 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85416000,""Mounted piezoelectric crystals"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1994 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
