Date,US_CPI_Total,Chip_PPI,Auto_PPI,Auto_CPI,JPY_Rate
2016-01-31,100.0,100.0,100.0,100.0,100.0
2016-02-29,99.86703246764176,99.8266897746967,100.08333333333333,100.45533243357463,96.9462758593058
2016-03-31,100.18009526534597,99.8266897746967,100.0,100.50236527476724,95.52208501476929
2016-04-30,100.56384966253178,99.6533795493934,100.0,100.34558913745859,92.66328882184361
2016-05-31,100.80159224412166,99.6533795493934,100.0,100.31968699303371,92.06797918006177
2016-06-30,101.08141315873631,99.6533795493934,100.08333333333333,100.23175602906494,89.10992225969366
2016-07-31,101.03049837577636,99.48006932409011,99.75,100.40693632162285,88.12882575268554
2016-08-31,101.21732617440628,99.48006932409011,99.58333333333333,100.42874865377014,85.63128342830798
2016-09-30,101.4828404557925,98.96013864818023,99.58333333333333,100.52894905457173,86.09313261294973
2016-10-31,101.72058303738241,98.61351819757364,101.0,100.73480293921176,87.88903035672153
2016-11-30,101.84050628650296,98.61351819757364,100.91666666666666,100.70276607637044,91.72533377257614
2016-12-31,102.09760490128423,98.61351819757364,101.25,100.6680026720107,98.11572902536226
2017-01-31,102.51039334825711,99.48006932409011,101.16666666666667,100.99518765422002,97.1633226342102
2017-02-28,102.6736572803932,99.30675909878683,101.16666666666667,101.07562062901314,95.50503274287827
2017-03-31,102.62568798074496,99.30675909878683,101.33333333333331,100.91816285632491,95.5092135496075
2017-04-30,102.7523437631495,99.8266897746967,101.49999999999999,100.98223658200756,93.11927667398244
2017-05-31,102.67281571373267,99.6533795493934,101.08333333333333,100.73616620997097,94.94006076281741
2017-06-30,102.73972026324205,99.48006932409011,101.08333333333333,100.26651943342469,93.81547918001361
2017-07-31,102.77338292966188,98.09358752166378,100.83333333333333,99.65372922716182,95.0866985117683
2017-08-31,103.1689192600946,97.74696707105718,100.83333333333333,99.58488405382194,92.89593836561814
2017-09-30,103.69573998956459,97.05372616984401,100.83333333333333,99.34631167096099,93.6986764843364
2017-10-31,103.77610960564188,97.05372616984401,101.91666666666666,99.16022521232942,95.50772501282009
2017-11-30,104.05298503694478,97.05372616984401,102.08333333333333,99.4512835194198,95.42672584572786
2017-12-31,104.27221315200379,97.05372616984401,102.08333333333333,100.05725737188665,95.529495301141
2018-01-31,104.71571878208475,97.22703639514731,102.16666666666667,100.73684784535058,93.77899092450642
2018-02-28,104.99764361335062,97.57365684575389,102.33333333333331,100.46351205812987,91.32525185973316
2018-03-31,105.0178412132025,97.57365684575389,102.41666666666667,100.52417760691452,89.69854940611165
2018-04-30,105.29135037786344,97.74696707105718,102.33333333333331,99.49422654833478,91.05981948224047
2018-05-31,105.52909295945332,97.4003466204506,102.41666666666667,99.37289545076548,92.77855728981808
2018-06-30,105.62418999208928,97.4003466204506,102.58333333333334,99.36130764931224,93.09627790500697
2018-07-31,105.70666352481781,96.88041594454072,102.58333333333334,99.15477212929261,94.32878636498828
2018-08-31,105.89559524009897,96.18717504332756,102.66666666666666,99.17181301378268,93.88520240233802
2018-09-30,106.11398178849747,96.88041594454072,102.75000000000001,99.13295979714532,94.8163416121694
2018-10-31,106.36224395334355,96.36048526863085,103.58333333333334,99.14863741087618,95.34452566029078
2018-11-30,106.28734452055949,96.36048526863085,103.58333333333334,99.64350469646777,95.86571635897414
2018-12-31,106.36014003669231,96.36048526863085,103.58333333333334,100.39194034327159,94.90268150792839
2019-01-31,106.27345867066131,95.49393414211438,103.91666666666669,100.74025602224859,92.1630555271136
2019-02-28,106.59241243498899,95.49393414211438,103.91666666666669,100.71503551320329,93.41447453356425
2019-03-31,106.99552286536615,95.49393414211438,103.75000000000001,101.1901353727864,94.01018695588856
2019-04-30,107.39779172908285,95.66724436741768,103.66666666666666,100.6680026720107,94.43063491761568
2019-05-31,107.42430107888845,95.49393414211438,103.66666666666666,100.2978746608864,93.01808355514689
2019-06-30,107.38937606247791,95.84055459272096,103.66666666666666,99.99386528158358,91.40856701494465
2019-07-31,107.63721744399375,96.01386481802425,103.66666666666666,99.57397788774828,91.59284460559009
2019-08-31,107.73568074327169,96.18717504332756,103.58333333333334,99.41038539664365,89.81850477494406
2019-09-30,107.90146937538923,96.36048526863085,103.49999999999999,99.21816421959566,90.96154102987593
2019-10-31,108.20653728981873,96.18717504332756,104.25,99.24338472864098,91.46635320704564
2019-11-30,108.511184420918,96.18717504332756,104.33333333333334,99.58556568920154,92.07626797964646
2019-12-31,108.82719270193392,96.36048526863085,104.25,100.41579758155767,92.28185564811736
2020-01-31,109.036322017067,96.18717504332756,104.08333333333333,100.79819502951483,92.42202327689955
2020-02-29,109.08807836668744,96.01386481802425,104.25,101.03881231851457,93.06723530799675
2020-03-31,108.59407873697677,96.36048526863085,103.91666666666669,100.65709650593703,91.0691932839563
