Year,Volume,Type
2015,29.454050186,History
2016,37.08724219,History
2017,33.756403196,History
2018,20.282102177,History
2019,26.713215997,History
2020,40.054102759,History
2021,41.625009557,History
2022,52.361341639,History
2023,43.170183286,History
2024,37.33142887,History
2025,44.7951740035728,Forecast
2026,47.230871824520264,Forecast
2027,48.52846312894438,Forecast
2028,49.57994615262541,Forecast
